ID,Random,Pop,ItemKNN,BPR,ENMF,DMF,NNCF,MultiDAE,MultiVAE,NCEPLRec,RecVAE,CDAE,LINE,SGL,DiffRec,RaCT,SimpleX
Subscription_Boxes,0.0175,0.1608,0.1661,0.0629,0.1416,0.25,0.25,0.2168,0.2517,0.0385,0.2413,0.007,0.0297,0.0752,0.2185,0.2115,0.0227
Magazine_Subscriptions,0.0031,0.1053,0.069,0.0392,0.0698,0.1472,0.1501,0.1529,0.152,0.0142,0.1876,0.157,0.0445,0.134,0.1419,0.1957,0.0128
Digital_Music,0.0003,0.0046,0.0097,0.0078,0.0043,0.0033,0.0084,0.0143,0.0157,0.0114,0.015,0.0071,0.0082,0.0179,0.0136,0.0163,0.0132
Gift_Cards,0.0085,0.3286,0.1287,0.154,0.2039,0.4622,0.4566,0.4822,0.4757,0.008,0.4016,0.4629,0.1746,0.3487,0.4398,0.4795,0.1813
Health_and_Personal_Care,0.0001,0.0364,0.0071,0.0098,0.0208,0.0146,0.0061,0.0071,0.0164,0.0052,0.0048,0.0364,0.0074,0.0144,0.0213,0.0261,0.0018
Handmade_Products,0.0001,0.0085,0.0087,0.003,0.0054,0.0035,0.0017,0.0064,0.0103,0.0044,0.0098,0.008,0.0035,0.0071,0.0059,0.0147,0.0076
All_Beauty,0.0002,0.0131,0.0042,0.0043,0.008,0.0079,0.0022,0.0057,0.0054,0.0032,0.0045,0.012,0.0052,0.0063,0.0067,0.013,0.0045
ml-100k,0.0541,0.4719,0.7847,0.7815,0.3097,0.7635,0.754,0.7869,0.8049,0.5557,0.7911,0.5249,0.7413,0.7879,0.8165,0.7996,0.7614
ml-1m,0.0465,0.4987,0.7424,0.7419,0.1351,0.725,0.7149,0.7694,0.7414,0.7725,0.794,0.6767,0.7151,0.7634,0.8033,0.7709,0.732
epinions,0.0003,0.0073,0.003,0.0094,0.0087,0.0057,0.0094,0.0109,0.0114,0.0087,0.011,0.0091,0.008,0.0138,0.0091,0.0127,0.0086
ModCloth,0.0066,0.0736,0.1324,0.1008,0.109,0.1552,0.151,0.2108,0.2179,0.0236,0.2254,0.1642,0.0918,0.1771,0.1889,0.2192,0.1623
